,price_eur_mwh,country_code,data_source,data_type,fetch_timestamp
2025-08-12 21:00:00+01:00,126.87,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-12 22:00:00+01:00,109.7,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-12 23:00:00+01:00,109.73,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 00:00:00+01:00,110.7,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 01:00:00+01:00,109.98,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 02:00:00+01:00,105.55,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 03:00:00+01:00,104.32,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 04:00:00+01:00,104.32,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 05:00:00+01:00,105.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 06:00:00+01:00,121.17,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 07:00:00+01:00,118.24,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 08:00:00+01:00,94.1,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 09:00:00+01:00,90.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 10:00:00+01:00,71.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 11:00:00+01:00,63.48,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 12:00:00+01:00,60.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 13:00:00+01:00,63.22,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 14:00:00+01:00,70.9,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 15:00:00+01:00,84.15,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 16:00:00+01:00,93.1,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 17:00:00+01:00,105.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 18:00:00+01:00,107.23,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 19:00:00+01:00,155.1,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 20:00:00+01:00,153.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 21:00:00+01:00,123.21,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 22:00:00+01:00,106.27,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-13 23:00:00+01:00,126.87,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 00:00:00+01:00,115.7,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 01:00:00+01:00,110.28,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 02:00:00+01:00,105.27,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 03:00:00+01:00,102.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 04:00:00+01:00,101.12,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 05:00:00+01:00,107.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 06:00:00+01:00,109.65,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 07:00:00+01:00,99.31,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 08:00:00+01:00,90.92,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 09:00:00+01:00,71.67,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 10:00:00+01:00,67.4,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 11:00:00+01:00,54.01,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 12:00:00+01:00,40.91,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 13:00:00+01:00,54.9,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 14:00:00+01:00,69.43,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 15:00:00+01:00,71.67,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 16:00:00+01:00,80.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 17:00:00+01:00,102.0,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 18:00:00+01:00,115.78,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 19:00:00+01:00,137.99,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 20:00:00+01:00,149.02,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 21:00:00+01:00,125.88,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 22:00:00+01:00,111.92,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-14 23:00:00+01:00,119.07,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-15 00:00:00+01:00,105.3,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-15 01:00:00+01:00,99.9,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-15 02:00:00+01:00,96.22,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-15 03:00:00+01:00,93.66,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-15 04:00:00+01:00,91.16,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-15 05:00:00+01:00,98.5,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-15 06:00:00+01:00,97.52,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
2025-08-15 07:00:00+01:00,71.89,PT,ENTSO-E,day_ahead_prices,2025-08-22 11:17:18.477205
